Time,Latitude,Longitude,Altitude,Condutivity,DissolvedOxygen,RedoxPotential,Temperature,pH
1572036877.5,-32.07328485,-52.16573925,17.1017623489,301.600006104,25.6900005341,162.899993896,26.8090000153,10.9930000305
1572036883.0,-32.07329555,-52.1657362,17.1117568632,302.0,26.1399993896,166.100006104,26.8600006104,10.9359998703
1572036888.0,-32.07332085,-52.1657431,16.9917770878,302.100006104,26.6700000763,163.899993896,26.8490009308,10.9160003662
1572036893.0,-32.07334645,-52.1657616,16.9018349221,302.299987793,26.9200000763,166.100006104,26.7080001831,10.9010000229
1572036898.0,-32.0733618,-52.16578395,16.8969054885,302.5,27.1299991608,166.600006104,26.8560009003,10.8999996185
1572036903.5,-32.073379,-52.16581225,16.9819868975,302.100006104,27.1499996185,168.800003052,26.8560009003,10.8959999084
1572036909.0,-32.0734115,-52.1658358,16.9970604145,302.100006104,27.2600002289,169.199996948,26.8560009003,10.9020004272
1572036914.0,-32.0734356,-52.16586085,16.9371420725,302.0,27.2600002289,170.899993896,26.8600006104,10.8940000534
1572036919.0,-32.0734587,-52.1658789,16.9071910592,301.799987793,27.1499996185,174.100006104,26.857000351,10.8710002899
1572036924.5,-32.07348745,-52.1658787,17.072198539,301.600006104,26.9200000763,174.300003052,26.857000351,10.8629999161
1572036930.0,-32.0735118,-52.1658666,17.0471749105,301.600006104,26.8999996185,171.800003052,26.8519992828,10.8629999161
1572036935.0,-32.07352695,-52.16584785,16.992122063,301.799987793,26.8600006104,174.300003052,26.8519992828,10.8599996567
1572036940.0,-32.07354555,-52.1658355,17.017103734,302.899993896,26.7999992371,175.100006104,26.8560009003,10.888999939
1572036945.0,-32.0735728,-52.16583915,16.9371194863,303.700012207,27.0799999237,176.300003052,26.8600006104,10.890999794
1572036950.5,-32.07359835,-52.1658284,17.0021012385,304.299987793,27.0,176.100006104,26.8810005188,10.8940000534
1572036956.0,-32.07362365,-52.16582715,16.9420984468,304.200012207,27.3199996948,176.300003052,27.0200004578,10.9149999619
1572036961.0,-32.0736473,-52.16584355,16.8471507687,302.700012207,27.1700000763,175.100006104,27.0100002289,10.8859996796
1572036966.0,-32.0736807,-52.16584605,16.947173394,300.299987793,27.0499992371,174.600006104,26.8689994812,10.906999588
1572036971.5,-32.07371365,-52.1658564,16.957211631,302.200012207,25.3400001526,177.0,27.0039997101,10.6859998703
1572036977.0,-32.0737401,-52.1658786,16.9422783783,307.100006104,22.4799995422,175.399993896,27.297000885,10.6820001602
1572036982.0,-32.0737687,-52.165901,16.922321693,309.899993896,24.5200004578,174.0,27.5550003052,10.8260002136
1572036987.0,-32.0737931,-52.16592755,16.7624194337,310.299987793,26.0200004578,174.199996948,27.7919998169,10.8809995651
1572036992.5,-32.07381435,-52.1659554,16.8725092545,310.399993896,26.3700008392,173.899993896,27.8080005646,10.8760004044
1572036998.0,-32.0738433,-52.1659813,16.9675879403,310.299987793,26.5200004578,174.300003052,27.9449996948,10.8760004044
1572037003.0,-32.0738721,-52.1659921,17.0226278808,310.899993896,26.6100006104,174.0,27.9580001831,10.8549995422
1572037008.0,-32.07390245,-52.16600075,16.972658909,311.100006104,26.7600002289,174.5,27.9689998627,10.8879995346
1572037013.0,-32.0739286,-52.1660205,16.8577253452,310.600006104,26.8500003815,175.100006104,27.9850006104,10.873000145
1572037018.5,-32.0739599,-52.16603815,16.9127889977,310.5,27.0200004578,175.699996948,27.9909992218,10.8760004044
1572037024.0,-32.0739883,-52.1660575,16.7828384283,310.600006104,27.0799999237,175.199996948,28.0,10.9200000763
1572037029.0,-32.07400505,-52.1660839,16.7329145739,310.399993896,27.2000007629,176.600006104,28.0049991608,10.906999588
1572037034.0,-32.07403025,-52.16610725,16.8180062572,310.0,27.1399993896,176.899993896,28.0069999695,10.8950004578
1572037039.5,-32.07406305,-52.16612325,16.8930386919,311.299987793,27.0300006866,176.800003052,28.1450004578,10.892999649
1572037045.0,-32.074096,-52.1661201,16.9780405712,311.299987793,27.3600006104,176.399993896,28.1319999695,10.9119997025
1572037050.0,-32.074125,-52.16610995,16.9530190846,310.700012207,27.4300003052,176.699996948,28.1200008392,10.9289999008
1572037055.0,-32.0741578,-52.16610065,17.0230071075,309.399993896,27.4699993134,177.199996948,28.1100006104,10.9300003052
1572037060.5,-32.0741859,-52.1660851,17.0979829438,305.899993896,27.1499996185,176.399993896,28.0890007019,10.8979997635
1572037066.0,-32.0742036,-52.1660622,17.0329327278,304.600006104,26.3600006104,178.399993896,27.9160003662,10.8369998932
1572037071.0,-32.0742185,-52.1660551,17.1179127789,305.0,25.8899993896,180.699996948,27.7660007477,10.8540000916
1572037076.0,-32.0742375,-52.16608425,17.1129748127,304.399993896,25.9200000763,180.899993896,27.7530002594,10.8540000916
1572037081.0,-32.07425975,-52.1661145,16.9780783443,305.799987793,25.9599990845,179.699996948,27.7369995117,10.8599996567
1572037086.5,-32.07428215,-52.1661503,16.8532166002,308.299987793,26.3999996185,180.5,27.7159996033,10.9079999924
1572037092.0,-32.0743063,-52.1661834,16.8382359086,308.899993896,27.0,179.300003052,27.7119998932,10.9379997253
1572037097.0,-32.074327,-52.16621905,16.8533793685,308.899993896,27.1900005341,178.0,27.7159996033,10.9189996719
1572037102.0,-32.0743478,-52.16624565,16.8334406113,309.899993896,27.1599998474,178.899993896,27.9060001373,10.9029998779
1572037107.5,-32.07437565,-52.16626795,16.9535203544,309.700012207,26.5699996948,176.399993896,28.0249996185,10.8789997101
1572037113.0,-32.07440895,-52.16628115,17.0735757197,309.899993896,26.3600006104,175.300003052,28.2010002136,10.8649997711
1572037118.0,-32.07443635,-52.16627265,17.0935367148,310.200012207,26.1200008392,174.899993896,28.2089996338,10.8690004349
1572037123.0,-32.0744553,-52.1662489,17.053484147,309.899993896,26.1800003052,175.699996948,28.2129993439,10.8739995956
1572037128.0,-32.07446795,-52.16622755,17.0484542099,310.0,26.4599990845,175.5,28.2119998932,10.8649997711
1572037134.0,-32.0744939,-52.1662022,17.0933872554,310.399993896,26.3299999237,176.600006104,28.2220001221,10.8830003738
1572037139.0,-32.07451265,-52.16618025,16.9983404614,310.299987793,26.3799991608,176.100006104,28.2290000916,10.8879995346
1572037144.0,-32.07452775,-52.16614935,17.0432722957,310.399993896,26.3299999237,174.899993896,28.2420005798,10.8970003128
1572037149.0,-32.07453355,-52.1661192,17.0981698596,310.200012207,26.6499996185,175.399993896,28.2469997406,10.9139995575
1572037154.5,-32.07453665,-52.1660858,17.0680939014,310.0,26.75,175.199996948,28.2590007782,10.9149999619
